Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Kamil Bednarik,F,72,185,05/26/2006,NTDP,61,26,39,65,2023,,Kamil,Bednarik,,,"[""Kamil"",""Bednarik"",""F"",""NTDP"",None,72,185,18.3,61,26,65,1.07,2024]"
Zakhar Bardakov,F,74,198,02/24/2001,KHL,51,6,6,12,2023,,Zakhar,Bardakov,,,"[""Zakhar"",""Bardakov"",""F"",""KHL"",None,74,198,23.56,51,6,12,0.24,2024]"
Aidan Hreschuk,D,71,188,02/19/2003,NCAA,41,2,13,15,2023,,Aidan,Hreschuk,,,"[""Aidan"",""Hreschuk"",""D"",""NCAA"",None,71,188,21.57,41,2,15,0.37,2024]"
Timur Mukhanov,F,67,178,06/17/2005,KHL,60,5,9,14,2023,,Timur,Mukhanov,,,"[""Timur"",""Mukhanov"",""F"",""KHL"",None,67,178,19.24,60,5,14,0.23,2024]"
Tuomas Uronen,F,72,192,03/19/2005,OHL,11,2,4,6,2023,,Tuomas,Uronen,,,"[""Tuomas"",""Uronen"",""F"",""OHL"",None,72,192,19.49,11,2,6,0.55,2024]"
Jackson Dorrington,D,74,192,04/13/2004,NCAA,33,6,6,12,2023,,Jackson,Dorrington,,,"[""Jackson"",""Dorrington"",""D"",""NCAA"",None,74,192,20.42,33,6,12,0.36,2024]"
Jalen Luypen,F,70,155,06/28/2002,AHL,64,4,16,20,2023,,Jalen,Luypen,,,"[""Jalen"",""Luypen"",""F"",""AHL"",None,70,155,22.21,64,4,20,0.31,2024]"
Prokhor Poltapov,F,72,176,02/01/2003,KHL,56,5,8,13,2023,,Prokhor,Poltapov,,,"[""Prokhor"",""Poltapov"",""F"",""KHL"",None,72,176,21.62,56,5,13,0.23,2024]"
Brennan Ali,F,72,193,02/09/2004,NCAA,36,3,10,13,2023,,Brennan,Ali,,,"[""Brennan"",""Ali"",""F"",""NCAA"",None,72,193,20.6,36,3,13,0.36,2024]"
Kirill Dolzhenkov,F,78,234,04/20/2004,KHL,39,4,5,9,2023,,Kirill,Dolzhenkov,,,"[""Kirill"",""Dolzhenkov"",""F"",""KHL"",None,78,234,20.4,39,4,9,0.23,2024]"
Riley Kidney,F,71,190,03/25/2003,AHL,65,7,13,20,2023,,Riley,Kidney,,,"[""Riley"",""Kidney"",""F"",""AHL"",None,71,190,21.47,65,7,20,0.31,2024]"
Anton Wahlberg,F,75,194,07/04/2005,SHL,43,5,5,10,2023,,Anton,Wahlberg,,,"[""Anton"",""Wahlberg"",""F"",""SHL"",None,75,194,19.2,43,5,10,0.23,2024]"
Jake Furlong,D,73,189,03/04/2004,QMJHL,56,3,27,30,2023,,Jake,Furlong,,,"[""Jake"",""Furlong"",""D"",""QMJHL"",None,73,189,20.53,56,3,30,0.54,2024]"
Brent Johnson,D,71,161,03/20/2003,NCAA,37,5,8,13,2023,,Brent,Johnson,,,"[""Brent"",""Johnson"",""D"",""NCAA"",None,71,161,21.49,37,5,13,0.35,2024]"
Nathan Aspinall,F,78,181,03/30/2006,OHL,65,18,16,34,2023,,Nathan,Aspinall,,,"[""Nathan"",""Aspinall"",""F"",""OHL"",None,78,181,18.46,65,18,34,0.52,2024]"
Luke Coughlin,D,70,170,04/11/2005,QMJHL,42,2,20,22,2023,,Luke,Coughlin,,,"[""Luke"",""Coughlin"",""D"",""QMJHL"",None,70,170,19.43,42,2,22,0.52,2024]"
Francesco Pinelli,F,72,185,04/11/2003,AHL,67,13,7,20,2023,,Francesco,Pinelli,,,"[""Francesco"",""Pinelli"",""F"",""AHL"",None,72,185,21.43,67,13,20,0.3,2024]"
Ryder Korczak,F,70,177,09/23/2002,AHL,67,9,11,20,2023,,Ryder,Korczak,,,"[""Ryder"",""Korczak"",""F"",""AHL"",None,70,177,21.98,67,9,20,0.3,2024]"
Brett Harrison,F,74,189,06/07/2003,AHL,47,5,9,14,2023,,Brett,Harrison,,,"[""Brett"",""Harrison"",""F"",""AHL"",None,74,189,21.27,47,5,14,0.3,2024]"
Joel Maatta,F,73,200,07/06/2002,NCAA,26,4,5,9,2023,,Joel,Maatta,,,"[""Joel"",""Maatta"",""F"",""NCAA"",None,73,200,22.19,26,4,9,0.35,2024]"
Aron Kiviharju,D,69,170,01/25/2006,Liiga,7,1,1,2,2023,,Aron,Kiviharju,,,"[""Aron"",""Kiviharju"",""D"",""Liiga"",None,69,170,18.64,7,1,2,0.29,2024]"
Cole Hutson,D,70,165,06/28/2006,NTDP,51,15,36,51,2023,,Cole,Hutson,,,"[""Cole"",""Hutson"",""D"",""NTDP"",None,70,165,18.21,51,15,51,1,2024]"
Ben Danford,D,74,195,02/06/2006,OHL,64,1,32,33,2023,,Ben,Danford,,,"[""Ben"",""Danford"",""D"",""OHL"",None,74,195,18.61,64,1,33,0.52,2024]"
Matthew Mania,D,73,180,01/11/2005,OHL,45,4,19,23,2023,,Matthew,Mania,,,"[""Matthew"",""Mania"",""D"",""OHL"",None,73,180,19.68,45,4,23,0.51,2024]"
Tyson Kozak,F,71,185,12/29/2002,AHL,41,5,7,12,2023,,Tyson,Kozak,,,"[""Tyson"",""Kozak"",""F"",""AHL"",None,71,185,21.71,41,5,12,0.29,2024]"
Jackson Edward,D,74,193,02/27/2004,OHL,59,7,23,30,2023,,Jackson,Edward,,,"[""Jackson"",""Edward"",""D"",""OHL"",None,74,193,20.55,59,7,30,0.51,2024]"
Jakub Demek,F,76,215,06/06/2003,AHL,55,7,9,16,2023,,Jakub,Demek,,,"[""Jakub"",""Demek"",""F"",""AHL"",None,76,215,21.28,55,7,16,0.29,2024]"
Jonathan Myrenberg,D,74,185,04/11/2003,SHL,50,2,9,11,2023,,Jonathan,Myrenberg,,,"[""Jonathan"",""Myrenberg"",""D"",""SHL"",None,74,185,21.43,50,2,11,0.22,2024]"
Jacob Melanson,F,72,207,04/22/2003,AHL,62,6,12,18,2023,,Jacob,Melanson,,,"[""Jacob"",""Melanson"",""F"",""AHL"",None,72,207,21.4,62,6,18,0.29,2024]"
Lukas Fischer,D,75,173,09/09/2006,OHL,68,6,28,34,2023,,Lukas,Fischer,,,"[""Lukas"",""Fischer"",""D"",""OHL"",None,75,173,18.02,68,6,34,0.5,2024]"
Finn Harding,D,74,192,03/02/2005,OHL,68,10,24,34,2023,,Finn,Harding,,,"[""Finn"",""Harding"",""D"",""OHL"",None,74,192,19.54,68,10,34,0.5,2024]"
Jesse Pulkkinen,D,78,203,12/27/2004,Liiga,29,2,6,8,2023,,Jesse,Pulkkinen,,,"[""Jesse"",""Pulkkinen"",""D"",""Liiga"",None,78,203,19.72,29,2,8,0.28,2024]"
Emil Hemming,F,74,209,06/27/2006,Liiga,40,7,4,11,2023,,Emil,Hemming,,,"[""Emil"",""Hemming"",""F"",""Liiga"",None,74,209,18.22,40,7,11,0.28,2024]"
Zach Dean,F,72,176,01/04/2003,AHL,49,9,5,14,2023,,Zach,Dean,,,"[""Zach"",""Dean"",""F"",""AHL"",None,72,176,21.7,49,9,14,0.29,2024]"
Nolan Allan,D,74,195,04/28/2003,AHL,60,5,12,17,2023,,Nolan,Allan,,,"[""Nolan"",""Allan"",""D"",""AHL"",None,74,195,21.38,60,5,17,0.28,2024]"
Vilmer Alriksson,F,78,214,02/18/2005,OHL,67,17,16,33,2023,,Vilmer,Alriksson,,,"[""Vilmer"",""Alriksson"",""F"",""OHL"",None,78,214,19.58,67,17,33,0.49,2024]"
Lucas Ellinas,F,74,200,03/12/2006,OHL,67,16,17,33,2023,,Lucas,Ellinas,,,"[""Lucas"",""Ellinas"",""F"",""OHL"",None,74,200,18.51,67,16,33,0.49,2024]"
Matthew Andonovski,D,74,215,03/14/2005,OHL,65,7,25,32,2023,,Matthew,Andonovski,,,"[""Matthew"",""Andonovski"",""D"",""OHL"",None,74,215,19.5,65,7,32,0.49,2024]"
Chris Romaine,D,72,190,02/21/2004,USHL,55,6,24,30,2023,,Chris,Romaine,,,"[""Chris"",""Romaine"",""D"",""USHL"",None,72,190,20.57,55,6,30,0.55,2024]"
Fisher Scott,D,73,179,10/27/2004,USHL,61,8,25,33,2023,,Fisher,Scott,,,"[""Fisher"",""Scott"",""D"",""USHL"",None,73,179,19.88,61,8,33,0.54,2024]"
Tyson Dyck,F,72,189,02/06/2004,NCAA,28,0,9,9,2023,,Tyson,Dyck,,,"[""Tyson"",""Dyck"",""F"",""NCAA"",None,72,189,20.61,28,0,9,0.32,2024]"
Angus Booth,D,72,177,04/27/2004,QMJHL,31,2,13,15,2023,,Angus,Booth,,,"[""Angus"",""Booth"",""D"",""QMJHL"",None,72,177,20.38,31,2,15,0.48,2024]"
Samuel Helenius,F,78,201,11/26/2002,AHL,69,8,11,19,2023,,Samuel,Helenius,,,"[""Samuel"",""Helenius"",""F"",""AHL"",None,78,201,21.8,69,8,19,0.28,2024]"
Ty Henricks,F,77,205,06/28/2005,USHL,60,17,15,32,2023,,Ty,Henricks,,,"[""Ty"",""Henricks"",""F"",""USHL"",None,77,205,19.21,60,17,32,0.53,2024]"
Jesse Kiiskinen,F,74,197,08/23/2005,Liiga,38,4,6,10,2023,,Jesse,Kiiskinen,,,"[""Jesse"",""Kiiskinen"",""F"",""Liiga"",None,74,197,19.06,38,4,10,0.26,2024]"
Filip Eriksson,F,71,179,11/05/2004,SHL,29,0,6,6,2023,,Filip,Eriksson,,,"[""Filip"",""Eriksson"",""F"",""SHL"",None,71,179,19.86,29,0,6,0.21,2024]"
Jakub Brabenec,F,73,185,09/11/2003,AHL,48,6,7,13,2023,,Jakub,Brabenec,,,"[""Jakub"",""Brabenec"",""F"",""AHL"",None,73,185,21.01,48,6,13,0.27,2024]"
David Reinbacher,D,75,207,10/25/2004,NL,35,1,10,11,2023,,David,Reinbacher,,,"[""David"",""Reinbacher"",""D"",""NL"",None,75,207,19.89,35,1,11,0.31,2024]"
Vladimir Grudinin,D,70,158,12/09/2003,KHL,50,2,8,10,2023,,Vladimir,Grudinin,,,"[""Vladimir"",""Grudinin"",""D"",""KHL"",None,70,158,20.77,50,2,10,0.2,2024]"
Xavier Veilleux,D,72,189,03/23/2006,USHL,62,3,29,32,2023,,Xavier,Veilleux,,,"[""Xavier"",""Veilleux"",""D"",""USHL"",None,72,189,18.48,62,3,32,0.52,2024]"
Ben Strinden,F,74,208,06/04/2002,NCAA,39,6,6,12,2023,,Ben,Strinden,,,"[""Ben"",""Strinden"",""F"",""NCAA"",None,74,208,22.28,39,6,12,0.31,2024]"
Alexis Bernier,D,73,189,06/21/2006,QMJHL,67,4,27,31,2023,,Alexis,Bernier,,,"[""Alexis"",""Bernier"",""D"",""QMJHL"",None,73,189,18.23,67,4,31,0.46,2024]"
Matvey Petrov,F,74,178,03/12/2003,AHL,53,9,5,14,2023,,Matvey,Petrov,,,"[""Matvey"",""Petrov"",""F"",""AHL"",None,74,178,21.51,53,9,14,0.26,2024]"
Eric Jamieson,D,75,200,07/15/2005,WHL,66,10,22,32,2023,,Eric,Jamieson,,,"[""Eric"",""Jamieson"",""D"",""WHL"",None,75,200,19.17,66,10,32,0.48,2024]"
Kaden Hammell,D,73,173,03/12/2005,WHL,52,5,20,25,2023,,Kaden,Hammell,,,"[""Kaden"",""Hammell"",""D"",""WHL"",None,73,173,19.51,52,5,25,0.48,2024]"
Jakub Dvorak,D,77,203,05/25/2005,WHL,21,2,8,10,2023,,Jakub,Dvorak,,,"[""Jakub"",""Dvorak"",""D"",""WHL"",None,77,203,19.31,21,2,10,0.48,2024]"
Tucker Robertson,F,71,188,06/22/2003,AHL,39,6,4,10,2023,,Tucker,Robertson,,,"[""Tucker"",""Robertson"",""F"",""AHL"",None,71,188,21.23,39,6,10,0.26,2024]"
Otto Stenberg,F,71,180,05/29/2005,SHL,31,3,3,6,2023,,Otto,Stenberg,,,"[""Otto"",""Stenberg"",""F"",""SHL"",None,71,180,19.29,31,3,6,0.19,2024]"
Corson Ceulemans,D,74,198,05/05/2003,AHL,47,3,9,12,2023,,Corson,Ceulemans,,,"[""Corson"",""Ceulemans"",""D"",""AHL"",None,74,198,21.36,47,3,12,0.26,2024]"
Jan Golicic,D,78,196,06/30/2006,QMJHL,65,3,26,29,2023,,Jan,Golicic,,,"[""Jan"",""Golicic"",""D"",""QMJHL"",None,78,196,18.21,65,3,29,0.45,2024]"
Alex Pharand,F,75,198,01/05/2005,OHL,68,17,13,30,2023,,Alex,Pharand,,,"[""Alex"",""Pharand"",""F"",""OHL"",None,75,198,19.69,68,17,30,0.44,2024]"
Isaiah George,D,73,196,02/15/2004,OHL,68,6,24,30,2023,,Isaiah,George,,,"[""Isaiah"",""George"",""D"",""OHL"",None,73,196,20.58,68,6,30,0.44,2024]"
Mikhail Gulyayev,D,70,172,04/26/2005,KHL,64,4,8,12,2023,,Mikhail,Gulyayev,,,"[""Mikhail"",""Gulyayev"",""D"",""KHL"",None,70,172,19.39,64,4,12,0.19,2024]"
Kalle Vaisanen,F,75,204,01/28/2003,Liiga,58,9,5,14,2023,,Kalle,Vaisanen,,,"[""Kalle"",""Vaisanen"",""F"",""Liiga"",None,75,204,21.63,58,9,14,0.24,2024]"
Frederic Brunet,D,75,196,08/21/2003,AHL,48,2,10,12,2023,,Frederic,Brunet,,,"[""Frederic"",""Brunet"",""D"",""AHL"",None,75,196,21.07,48,2,12,0.25,2024]"
Maximus Wanner,D,75,185,03/12/2003,AHL,68,7,10,17,2023,,Maximus,Wanner,,,"[""Maximus"",""Wanner"",""D"",""AHL"",None,75,185,21.51,68,7,17,0.25,2024]"
Vojtech Port,D,74,182,08/03/2005,WHL,26,3,9,12,2023,,Vojtech,Port,,,"[""Vojtech"",""Port"",""D"",""WHL"",None,74,182,19.12,26,3,12,0.46,2024]"
Tory Pitner,D,73,180,03/06/2006,USHL,50,8,16,24,2023,,Tory,Pitner,,,"[""Tory"",""Pitner"",""D"",""USHL"",None,73,180,18.53,50,8,24,0.48,2024]"
Marek Alscher,D,75,206,04/07/2004,WHL,57,7,19,26,2023,,Marek,Alscher,,,"[""Marek"",""Alscher"",""D"",""WHL"",None,75,206,20.44,57,7,26,0.46,2024]"
Hoyt Stanley,D,75,204,02/04/2005,NCAA,35,2,8,10,2023,,Hoyt,Stanley,,,"[""Hoyt"",""Stanley"",""D"",""NCAA"",None,75,204,19.61,35,2,10,0.29,2024]"
Luke Devlin,F,74,185,03/12/2004,NCAA,28,6,2,8,2023,,Luke,Devlin,,,"[""Luke"",""Devlin"",""F"",""NCAA"",None,74,185,20.51,28,6,8,0.29,2024]"
Leon Muggli,D,72,165,07/09/2006,NL,42,3,9,12,2023,,Leon,Muggli,,,"[""Leon"",""Muggli"",""D"",""NL"",None,72,165,18.18,42,3,12,0.29,2024]"
Alexander Perevalov,F,72,191,04/16/2004,KHL,11,0,2,2,2023,,Alexander,Perevalov,,,"[""Alexander"",""Perevalov"",""F"",""KHL"",None,72,191,20.41,11,0,2,0.18,2024]"
Kirill Kirsanov,D,73,198,09/19/2002,KHL,22,2,2,4,2023,,Kirill,Kirsanov,,,"[""Kirill"",""Kirsanov"",""D"",""KHL"",None,73,198,21.99,22,2,4,0.18,2024]"
Gabe Smith,F,76,208,08/03/2006,QMJHL,54,9,14,23,2023,,Gabe,Smith,,,"[""Gabe"",""Smith"",""F"",""QMJHL"",None,76,208,18.12,54,9,23,0.43,2024]"
James Clark,F,72,179,09/24/2004,NCAA,39,5,6,11,2023,,James,Clark,,,"[""James"",""Clark"",""F"",""NCAA"",None,72,179,19.98,39,5,11,0.28,2024]"
Maxim Strbak,D,74,205,04/13/2005,NCAA,32,2,7,9,2023,,Maxim,Strbak,,,"[""Maxim"",""Strbak"",""D"",""NCAA"",None,74,205,19.42,32,2,9,0.28,2024]"
Oskar Pettersson,F,74,209,02/04/2004,AHL,29,3,4,7,2023,,Oskar,Pettersson,,,"[""Oskar"",""Pettersson"",""F"",""AHL"",None,74,209,20.61,29,3,7,0.24,2024]"
Adam Kleber,D,77,207,03/24/2006,USHL,56,5,21,26,2023,,Adam,Kleber,,,"[""Adam"",""Kleber"",""D"",""USHL"",None,77,207,18.48,56,5,26,0.46,2024]"
Tyler Boucher,F,74,216,01/16/2003,AHL,21,2,3,5,2023,,Tyler,Boucher,,,"[""Tyler"",""Boucher"",""F"",""AHL"",None,74,216,21.66,21,2,5,0.24,2024]"
Daniel Laatsch,D,77,182,02/13/2002,NCAA,40,2,9,11,2023,,Daniel,Laatsch,,,"[""Daniel"",""Laatsch"",""D"",""NCAA"",None,77,182,22.59,40,2,11,0.28,2024]"
Colton Roberts,D,76,192,06/08/2006,WHL,62,7,20,27,2023,,Colton,Roberts,,,"[""Colton"",""Roberts"",""D"",""WHL"",None,76,192,18.27,62,7,27,0.44,2024]"
Anton Silayev,D,79,211,04/11/2006,KHL,63,3,8,11,2023,,Anton,Silayev,,,"[""Anton"",""Silayev"",""D"",""KHL"",None,79,211,18.43,63,3,11,0.17,2024]"
Vincent Iorio,D,76,200,11/14/2002,AHL,60,4,10,14,2023,,Vincent,Iorio,,,"[""Vincent"",""Iorio"",""D"",""AHL"",None,76,200,21.84,60,4,14,0.23,2024]"
Milton Oscarson,F,78,216,02/18/2003,SHL,51,4,5,9,2023,,Milton,Oscarson,,,"[""Milton"",""Oscarson"",""F"",""SHL"",None,78,216,21.58,51,4,9,0.18,2024]"
Harrison Brunicke,D,75,195,05/08/2006,WHL,49,10,11,21,2023,,Harrison,Brunicke,,,"[""Harrison"",""Brunicke"",""D"",""WHL"",None,75,195,18.35,49,10,21,0.43,2024]"
Anton Johansson,D,76,172,06/10/2004,SHL,46,3,5,8,2023,,Anton,Johansson,,,"[""Anton"",""Johansson"",""D"",""SHL"",None,76,172,20.26,46,3,8,0.17,2024]"
Connor Clattenburg,F,76,195,05/02/2005,OHL,30,4,8,12,2023,,Connor,Clattenburg,,,"[""Connor"",""Clattenburg"",""F"",""OHL"",None,76,195,19.37,30,4,12,0.4,2024]"
David Gucciardi,D,73,185,10/09/2002,NCAA,30,2,6,8,2023,,David,Gucciardi,,,"[""David"",""Gucciardi"",""D"",""NCAA"",None,73,185,21.93,30,2,8,0.27,2024]"
Cal Thomas,D,72,185,05/08/2003,NCAA,38,1,9,10,2023,,Cal,Thomas,,,"[""Cal"",""Thomas"",""D"",""NCAA"",None,72,185,21.35,38,1,10,0.26,2024]"
Brandon Svoboda,F,75,205,02/04/2005,USHL,25,7,4,11,2023,,Brandon,Svoboda,,,"[""Brandon"",""Svoboda"",""F"",""USHL"",None,75,205,19.61,25,7,11,0.44,2024]"
Gavin White,D,73,195,11/12/2002,AHL,49,0,11,11,2023,,Gavin,White,,,"[""Gavin"",""White"",""D"",""AHL"",None,73,195,21.84,49,0,11,0.22,2024]"
Hunter McDonald,D,76,205,05/11/2002,NCAA,23,1,5,6,2023,,Hunter,McDonald,,,"[""Hunter"",""McDonald"",""D"",""NCAA"",None,76,205,22.34,23,1,6,0.26,2024]"
Charlie Elick,D,75,194,01/17/2006,WHL,65,4,23,27,2023,,Charlie,Elick,,,"[""Charlie"",""Elick"",""D"",""WHL"",None,75,194,18.66,65,4,27,0.42,2024]"
Zakary Karpa,F,74,185,03/25/2002,NCAA,31,4,4,8,2023,,Zakary,Karpa,,,"[""Zakary"",""Karpa"",""F"",""NCAA"",None,74,185,22.47,31,4,8,0.26,2024]"
Antoine Dorion,F,73,190,11/02/2005,QMJHL,68,11,15,26,2023,,Antoine,Dorion,,,"[""Antoine"",""Dorion"",""F"",""QMJHL"",None,73,190,18.87,68,11,26,0.38,2024]"
William Mcisaac,D,75,192,05/26/2006,WHL,67,6,21,27,2023,,William,Mcisaac,,,"[""William"",""Mcisaac"",""D"",""WHL"",None,75,192,18.3,67,6,27,0.4,2024]"
Tyler Peddle,F,73,195,01/28/2005,QMJHL,37,6,8,14,2023,,Tyler,Peddle,,,"[""Tyler"",""Peddle"",""F"",""QMJHL"",None,73,195,19.63,37,6,14,0.38,2024]"
Otto Salin,D,71,187,03/07/2004,Liiga,29,0,6,6,2023,,Otto,Salin,,,"[""Otto"",""Salin"",""D"",""Liiga"",None,71,187,20.52,29,0,6,0.21,2024]"
Cameron O'Neill,F,72,194,01/24/2004,NCAA,28,3,4,7,2023,,Cameron,O'Neill,,,"[""Cameron"",""O'Neill"",""F"",""NCAA"",None,72,194,20.64,28,3,7,0.25,2024]"
Victor Mancini,D,75,229,05/26/2002,NCAA,40,4,6,10,2023,,Victor,Mancini,,,"[""Victor"",""Mancini"",""D"",""NCAA"",None,75,229,22.3,40,4,10,0.25,2024]"
Abram Wiebe,D,74,187,08/28/2003,NCAA,40,1,9,10,2023,,Abram,Wiebe,,,"[""Abram"",""Wiebe"",""D"",""NCAA"",None,74,187,21.05,40,1,10,0.25,2024]"
Taylor Makar,F,75,190,03/13/2001,NCAA,36,4,5,9,2023,,Taylor,Makar,,,"[""Taylor"",""Makar"",""F"",""NCAA"",None,75,190,23.51,36,4,9,0.25,2024]"
Matthew Seminoff,F,72,192,12/27/2003,AHL,70,4,11,15,2023,,Matthew,Seminoff,,,"[""Matthew"",""Seminoff"",""F"",""AHL"",None,72,192,20.72,70,4,15,0.21,2024]"
Dmitriy Simashev,D,76,198,02/04/2005,KHL,63,4,6,10,2023,,Dmitriy,Simashev,,,"[""Dmitriy"",""Simashev"",""D"",""KHL"",None,76,198,19.61,63,4,10,0.16,2024]"
Tomas Lavoie,D,76,215,03/31/2006,QMJHL,65,3,21,24,2023,,Tomas,Lavoie,,,"[""Tomas"",""Lavoie"",""D"",""QMJHL"",None,76,215,18.46,65,3,24,0.37,2024]"
Jayden Grubbe,F,75,201,01/12/2003,AHL,67,8,6,14,2023,,Jayden,Grubbe,,,"[""Jayden"",""Grubbe"",""F"",""AHL"",None,75,201,21.68,67,8,14,0.21,2024]"
Matthew Mayich,D,74,187,12/21/2004,OHL,66,6,18,24,2023,,Matthew,Mayich,,,"[""Matthew"",""Mayich"",""D"",""OHL"",None,74,187,19.73,66,6,24,0.36,2024]"
Veeti Väisänen,D,72,177,02/15/2006,Liiga,50,2,8,10,2023,,Veeti,Väisänen,,,"[""Veeti"",""Väisänen"",""D"",""Liiga"",None,72,177,18.58,50,2,10,0.2,2024]"
Ethan Hay,F,73,193,01/15/2005,OHL,58,10,11,21,2023,,Ethan,Hay,,,"[""Ethan"",""Hay"",""F"",""OHL"",None,73,193,19.67,58,10,21,0.36,2024]"
Oliver Johansson,F,73,195,07/26/2003,SHL,51,5,3,8,2023,,Oliver,Johansson,,,"[""Oliver"",""Johansson"",""F"",""SHL"",None,73,195,21.14,51,5,8,0.16,2024]"
Cam Allen,D,72,194,01/07/2005,OHL,25,2,7,9,2023,,Cam,Allen,,,"[""Cam"",""Allen"",""D"",""OHL"",None,72,194,19.69,25,2,9,0.36,2024]"
Hunter Laing,F,77,205,05/16/2006,WHL,66,11,14,25,2023,,Hunter,Laing,,,"[""Hunter"",""Laing"",""F"",""WHL"",None,77,205,18.33,66,11,25,0.38,2024]"
Carson Lambos,D,73,197,01/14/2003,AHL,69,4,10,14,2023,,Carson,Lambos,,,"[""Carson"",""Lambos"",""D"",""AHL"",None,73,197,21.67,69,4,14,0.2,2024]"
Charlie Stramel,F,75,212,10/15/2004,NCAA,34,3,5,8,2023,,Charlie,Stramel,,,"[""Charlie"",""Stramel"",""F"",""NCAA"",None,75,212,19.92,34,3,8,0.24,2024]"
Taige Harding,D,78,235,01/03/2002,NCAA,34,2,6,8,2023,,Taige,Harding,,,"[""Taige"",""Harding"",""D"",""NCAA"",None,78,235,22.7,34,2,8,0.24,2024]"
Nikita Susuyev,F,72,172,02/06/2005,KHL,40,3,3,6,2023,,Nikita,Susuyev,,,"[""Nikita"",""Susuyev"",""F"",""KHL"",None,72,172,19.61,40,3,6,0.15,2024]"
Lucas Forsell,F,72,161,09/05/2003,SHL,46,4,3,7,2023,,Lucas,Forsell,,,"[""Lucas"",""Forsell"",""F"",""SHL"",None,72,161,21.03,46,4,7,0.15,2024]"
Ryan Hofer,F,75,184,05/10/2002,AHL,40,4,4,8,2023,,Ryan,Hofer,,,"[""Ryan"",""Hofer"",""F"",""AHL"",None,75,184,22.35,40,4,8,0.2,2024]"
Luke Osburn,D,73,172,09/09/2006,USHL,60,8,15,23,2023,,Luke,Osburn,,,"[""Luke"",""Osburn"",""D"",""USHL"",None,73,172,18.02,60,8,23,0.38,2024]"
David Spacek,D,72,174,02/18/2003,AHL,61,3,9,12,2023,,David,Spacek,,,"[""David"",""Spacek"",""D"",""AHL"",None,72,174,21.58,61,3,12,0.2,2024]"
Hank Kempf,D,74,190,04/15/2002,NCAA,35,1,7,8,2023,,Hank,Kempf,,,"[""Hank"",""Kempf"",""D"",""NCAA"",None,74,190,22.42,35,1,8,0.23,2024]"
Simon Robertsson,F,72,190,02/05/2003,SHL,27,2,2,4,2023,,Simon,Robertsson,,,"[""Simon"",""Robertsson"",""F"",""SHL"",None,72,190,21.61,27,2,4,0.15,2024]"
Aram Minnetian,D,71,192,03/19/2005,NCAA,40,3,6,9,2023,,Aram,Minnetian,,,"[""Aram"",""Minnetian"",""D"",""NCAA"",None,71,192,19.49,40,3,9,0.23,2024]"
Fabian Wagner,F,70,170,05/07/2004,SHL,41,1,5,6,2023,,Fabian,Wagner,,,"[""Fabian"",""Wagner"",""F"",""SHL"",None,70,170,20.36,41,1,6,0.15,2024]"
Marcel Marcel,F,76,242,10/31/2003,AHL,26,0,5,5,2023,,Marcel,Marcel,,,"[""Marcel"",""Marcel"",""F"",""AHL"",None,76,242,20.88,26,0,5,0.19,2024]"
Daniil Sobolev,D,72,208,03/03/2003,OHL,33,2,9,11,2023,,Daniil,Sobolev,,,"[""Daniil"",""Sobolev"",""D"",""OHL"",None,72,208,21.53,33,2,11,0.33,2024]"
Jack Bar,D,74,193,10/07/2002,NCAA,27,1,5,6,2023,,Jack,Bar,,,"[""Jack"",""Bar"",""D"",""NCAA"",None,74,193,21.94,27,1,6,0.22,2024]"
Viktor Hurtig,D,77,191,04/28/2002,NCAA,9,1,1,2,2023,,Viktor,Hurtig,,,"[""Viktor"",""Hurtig"",""D"",""NCAA"",None,77,191,22.38,9,1,2,0.22,2024]"
Ethan Samson,D,73,180,08/23/2003,AHL,63,3,9,12,2023,,Ethan,Samson,,,"[""Ethan"",""Samson"",""D"",""AHL"",None,73,180,21.06,63,3,12,0.19,2024]"
George Fegaras,D,73,188,04/26/2004,NCAA,33,3,4,7,2023,,George,Fegaras,,,"[""George"",""Fegaras"",""D"",""NCAA"",None,73,188,20.39,33,3,7,0.21,2024]"
Lian Bichsel,D,79,231,05/18/2004,SHL,29,2,2,4,2023,,Lian,Bichsel,,,"[""Lian"",""Bichsel"",""D"",""SHL"",None,79,231,20.33,29,2,4,0.14,2024]"
Eli Barnett,D,78,219,09/16/2003,NCAA,24,0,5,5,2023,,Eli,Barnett,,,"[""Eli"",""Barnett"",""D"",""NCAA"",None,78,219,21,24,0,5,0.21,2024]"
Daimon Gardner,F,76,200,01/18/2004,NCAA,29,1,5,6,2023,,Daimon,Gardner,,,"[""Daimon"",""Gardner"",""F"",""NCAA"",None,76,200,20.66,29,1,6,0.21,2024]"
Matteo Mann,D,77,222,12/31/2004,QMJHL,42,6,7,13,2023,,Matteo,Mann,,,"[""Matteo"",""Mann"",""D"",""QMJHL"",None,77,222,19.71,42,6,13,0.31,2024]"
William Nicholl,F,72,184,05/24/2006,OHL,65,6,14,20,2023,,William,Nicholl,,,"[""William"",""Nicholl"",""F"",""OHL"",None,72,184,18.31,65,6,20,0.31,2024]"
Ryan Chesley,D,72,195,02/27/2004,NCAA,39,2,6,8,2023,,Ryan,Chesley,,,"[""Ryan"",""Chesley"",""D"",""NCAA"",None,72,195,20.55,39,2,8,0.21,2024]"
